"","Name","ID","Lat","Lon","Stn.Name","Stn.stDate","Stn.edDate"
"101","Philadelphia","USW00013739",39.8683,-75.2311,"PHILADELPHIA WBO","1872-01-01","1940-06-19"
"102","Philadelphia","USW00013739",39.8683,-75.2311,"PHILADELPHIA INTERNATIONAL AP","1940-06-20","2020-12-31"
"103","MiddletownHarrisburg","USW00014711",40.1936,-76.7633,"HARRISBURG CITY","1889-01-01","1938-12-31"
"104","MiddletownHarrisburg","USW00014711",40.1936,-76.7633,"HARRISBURG CAPITAL CITY ARPT","1939-01-01","1991-09-30"
"105","MiddletownHarrisburg","USW00014711",40.1936,-76.7633,"MIDDLETOWN HARRISBURG INTL AP","1991-10-01","2020-12-31"
"106","Erie","USW00014860",42.08,-80.1825,"ERIE CITY","1874-01-01","1953-07-31"
"107","Erie","USW00014860",42.08,-80.1825,"ERIE INTERNATIONAL AP","1953-08-01","2020-12-31"
"108","KlamathFalls","USW00094236",42.1469,-121.7242,"Klamath Falls 2SSW","1898-01-01","2000-07-30"
"109","KlamathFalls","USW00094236",42.1469,-121.7242,"Klamath Falls Airport","2000-07-31","2020-12-31"
"110","Portland","USC00356749",45.5181,-122.6894,"PORTLAND RFC CITY","1875-01-01","1973-06-30"
"111","Portland","USC00356749",45.5181,-122.6894,"PORTLAND KGW-TV","1973-07-01","2020-12-31"
"112","Salem","USW00024232",44.905,-123.0011,"SALEM MCNARY FIELD","1893-01-01","2020-12-31"
"113","Pendleton","USW00024155",45.6906,-118.8528,"PENDLETON DOWNTOWN","1893-01-01","1934-02-02"
"114","Pendleton","USW00024155",45.6906,-118.8528,"PENDLETON E OR REGIONAL AP","1934-02-03","2020-12-31"
"115","EUGENE","USW00024221",44.1278,-123.2206,"EUGENE","1893-01-01","1939-12-31"
"116","EUGENE","USW00024221",44.1278,-123.2206,"EUGENE MAHLON SWEET ARPT","1940-01-01","2020-12-31"
"117","Astoria","USW00094224",46.1569,-123.8825,"ASTORIA","1893-01-01","1952-12-31"
"118","Astoria","USW00094224",46.1569,-123.8825,"ASTORIA REGIONAL AIRPORT","1953-01-01","2020-12-31"
"119","Stillwater","USW00003965",36.1625,-97.0894,"Stillwater 2W","1893-01-01","1998-03-31"
"120","Stillwater","USW00003965",36.1625,-97.0894,"Stillwater Regional AP","1998-04-01","2020-12-31"
"121","Tulsa","USW00013968",36.1994,-95.8872,"TULSA CITY","1894-01-01","1930-12-31"
"122","Tulsa","USW00013968",36.1994,-95.8872,"TULSA INTERNATIONAL AIRPORT","1931-01-01","2020-12-31"
"123","Oklahoma","USW00013967",35.3889,-97.6006,"OKLAHOMA CITY WBO","1891-01-01","1953-12-31"
"124","Oklahoma","USW00013967",35.3889,-97.6006,"OKLAHOMA CITY WILL ROGERS AP","1954-01-01","2020-12-31"
"125","Zaneville","USW00093824",39.9444,-81.8922,"Philo 3 SW","1896-01-01","1945-12-31"
"126","Zaneville","USW00093824",39.9444,-81.8922,"Zanesville Municipal Airport","1946-01-01","2020-12-31"
"127","Toledo","USW00094830",41.5886,-83.8014,"TOLEDO BLADE","1871-01-01","1939-06-30"
"128","Toledo","USW00094830",41.5886,-83.8014,"TOLEDO METCALF FIELD","1939-07-01","1955-01-11"
"129","Toledo","USW00094830",41.5886,-83.8014,"TOLEDO EXPRESS AIRPORT","1955-01-12","2020-12-31"
"130","Dayton","USW00093815",39.9061,-84.2186,"DAYTON MCD","1894-01-01","1947-12-31"
"131","Dayton","USW00093815",39.9061,-84.2186,"DAYTON INTERNATIONAL AIRPORT","1948-01-01","2020-12-31"
"132","ColumbusOH","USW00014821",39.9914,-82.8808,"COLUMBUS","1879-01-01","1947-12-31"
"133","ColumbusOH","USW00014821",39.9914,-82.8808,"COLUMBUS PORT COLUMBUS INTL AP","1948-01-01","2020-12-31"
"134","Cleveland","USW00004853",41.5175,-81.6836,"CLEVELAND WB CITY","1871-01-01","1941-05-31"
"135","Cleveland","USW00004853",41.5175,-81.6836,"CLEVELAND HOPKINS INTL AP","1941-06-01","2020-12-31"
"136","Cincinnati","USW00093812",39.1033,-84.4189,"CINCINNATI ABBE WSO","1871-01-01","1947-03-31"
"137","Cincinnati","USW00093812",39.1033,-84.4189,"CINCINNATI NORTHERN KY AP","1947-04-01","2020-12-31"
"138","Akron","USW00014895",40.9167,-81.4333,"AKRON FULTON INTERNATIONAL AP","1888-01-01","1948-06-30"
"139","Akron","USW00014895",40.9167,-81.4333,"AKRON FULTON INTERNATIONAL AP","1948-07-01","2020-12-31"
"140","Williston","USW00094014",48.1739,-103.6367,"WILLISTON WBO","1894-01-01","1948-06-30"
"141","Williston","USW00094014",48.1739,-103.6367,"WILLISTON SLOULIN INTL AP","1948-07-01","2020-12-31"
"142","GrandForks","USW00014916",47.9428,-97.1839,"GRAND FORKS UNIV NWS","1893-01-01","1965-03-31"
"143","GrandForks","USW00014916",47.9428,-97.1839,"GRAND FORKS INTERNATIONAL AP","1965-04-01","2020-12-31"
"144","Fargo","USW00014914",46.9253,-96.8111,"MOORHEAD WBO","1881-01-01","1942-01-31"
"145","Fargo","USW00014914",46.9253,-96.8111,"FARGO HECTOR INTERNATIONAL AP","1942-02-01","2020-12-31"
"146","Bismarck","USW00024011",46.7708,-100.7603,"BISMARCK MUNICIPAL ARPT","1875-01-01","2020-12-31"
"147","Raleigh","USW00013722",35.8922,-78.7819,"RALEIGH CITY","1887-01-01","1944-05-17"
"148","Raleigh","USW00013722",35.8922,-78.7819,"RALEIGH DURHAM INTERNATIONAL AP","1944-05-18","2020-12-31"
"149","Charlotte","USW00013881",35.2236,-80.9553,"CHARLOTTE CITY","1879-01-01","1948-08-31"
"150","Charlotte","USW00013881",35.2236,-80.9553,"CHARLOTTE DOUGLAS INTL ARPT","1948-09-01","2020-12-31"
